,EPDL97 Energy [keV],S08 EPDL97 EA [cm^2],S09 EPDL97 EA [cm^2],S10 EPDL97 EA [cm^2],S08+S09+S10 EA [cm^2]
161,7.13026,1.7201946720541403,1.5992327934627062,1.4400880014280337,4.7595154669448805
162,7.16834,1.716142866740457,1.5957752734054336,1.437468328859216,4.749386469005107
163,7.20641,1.712093481860056,1.5923221522286413,1.4348524584276536,4.739268092516351
164,7.24449,1.708048937846218,1.5888690310518485,1.4322365879960912,4.729154556894158
165,7.28257,1.7040043938323803,1.585420308755536,1.429624519701784,4.7190492222897005
166,7.32064,1.6999671111183878,1.5819759853397035,1.4270143524761045,4.708957448934196
167,7.35872,1.695501411713522,1.5781489593221119,1.4240905089268727,4.697740879962507
168,7.39679,1.691028451008811,1.57431753442404,1.421160962171758,4.686506947604609
169,7.43487,1.6865530698708182,1.5704839100857282,1.4182314154166435,4.67526839537319
170,7.47295,1.682080109166107,1.5666502857474165,1.4152999675929014,4.664030362506425
171,7.51102,1.677607148461396,1.5628166614091048,1.4123685197691593,4.65279232963966
172,7.5491,1.673134187756685,1.558983037070793,1.4094370719454172,4.641554296772895
173,7.58717,1.6686588066186923,1.5551494127324814,1.4065037230530475,4.630311942404221
